CODIGO-DISCIPLINA-EMENTA-PRE-REQUISITO-CREDITO-AREA
113107- ALGEBRA 1 ----002 002 000 006-DC
113476- ALGORITMOS PROGR COMPUTADORES ----004 002 000 006-AC
117251- ARQ DE PROCESSADORES DIGITAIS ----004 000 000 006-AC
116378- BANCOS DE DADOS ----004 000 000 004-AC
113034- CALCULO 1 ----004 002 000 006-DC
113042- CALCULO 2 ----004 002 000 006-DC
192015- DIDATICA 1 ----002 002 000 004-AC
116441- ENGENHARIA DE SOFTWARE ----004 000 000 004-AC
116319- ESTRUTURAS DE DADOS ----004 000 000 004-AC
113492- FORMAÇÃO DOCENTE EM COMPUTAÇÃO----002 002 000 004-AC
113450- FUNDAMENTOS TEÓR DA COMPUTAÇÃO----002 002 000 004-AC
116726- INFORMATICA E SOCIEDADE ----002 000 000 000-AC
145971- INGLÊS INSTRUMENTAL 1 ----002 002 000 004-DC
113468- INTROD SISTEMAS COMPUTACIONAIS----002 002 000 004-AC
116793- INTRODUCAO A MICROINFORMATICA ----002 002 000 004-AC
116343- LINGUAGENS DE PROGRAMACAO ----004 000 000 004-AC
194221- ORGAN DA EDUCACAO BRASILEIRA ----003 001 000 004-DC
116327- ORGANIZACAO DE ARQUIVOS ----002 002 000 004-AC
115045- PROBABILIDADE E ESTATISTICA ----004 002 000 006-DC
191027- PSICOLOGIA DA EDUCAÇÃO ----004 000 000 002-DC
116416- SISTEMAS DE INFORMACAO ----004 000 000 004-AC
116823- TEO E PRAT PEDAG INFORMATICA 1----002 004 000 004-AC
116831- TEO E PRAT PEDAG INFORMATICA 2----002 004 000 004-AC
